tipo_regra,nome_fez,carater_fez,creditos_fez,nome_obtem,carater_obtem,creditos_obtem
mapeamento direto,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXIV,Eletiva,4,TOPICOS ESPECIAIS EM COMPUTACAO XXIV,Eletiva,4
mapeamento direto,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXIX,Eletiva,2,TOPICOS ESPECIAIS EM COMPUTACAO XXIX,Eletiva,2
mapeamento direto,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXX,Eletiva,2,TOPICOS ESPECIAIS EM COMPUTACAO XXX,Eletiva,2
mapeamento direto,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXXI,Eletiva,2,TOPICOS ESPECIAIS EM COMPUTACAO XXXI,Eletiva,2
mapeamento direto,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXXII,Eletiva,2,TOPICOS ESPECIAIS EM COMPUTACAO XXXII,Eletiva,2
mapeamento não direto,INTRODUÇÃO À ARQUITETURA DE COMPUTADORES,Obrigatória,4,Introdução à Ciência da Computação,Obrigatória,4
mapeamento não direto,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I,Obrigatória,4,Arquitetura de Computadores,Obrigatória,4
mapeamento direto,ORGANIZAÇÃO DE COMPUTADORES B,Obrigatória,4,Organização de Computadores,Obrigatória,4
mapeamento não direto,TÉCNICAS DE CONSTRUÇÃO DE PROGRAMAS,Obrigatória,4,Desenvolvimento de Software de Qualidade (ex-TCP),Obrigatória,4
mapeamento não direto,MODELOS DE LINGUAGEM DE PROGRAMAÇÃO,Obrigatória,4,Modelos de Linguagem de Programacao,Eletiva,4
mapeamento direto,ENGENHARIA DE SOFTWARE N,Obrigatória,4,Engenharia de Software,Obrigatória,4
mapeamento direto,COMPUTADOR E SOCIEDADE,Eletiva,4,Computador e Sociedade,Eletiva,4
mapeamento direto,SISTEMAS OPERACIONAIS I N,Obrigatória,4,Sistemas Operacionais,Obrigatória,4
mapeamento direto,FUNDAMENTOS DE BANCO DE DADOS,Obrigatória,4,Fundamentos de Bancos de Dados,Obrigatória,4
mapeamento direto,AVALIAÇÃO DE DESEMPENHO,Eletiva,4,Avaliacao de Desempenho,Eletiva,4
mapeamento não direto,COMPILADORES,Obrigatória,4,Linguagens de Programação II,Obrigatória,4
mapeamento não direto,SISTEMAS OPERACIONAIS II N,Obrigatória,4,Sistemas Distribuídos e Tolerantes a Falhas,Obrigatória,4
mapeamento não direto,REDES DE COMPUTADORES N,Obrigatória,6,Redes de Computadores,Obrigatória,4
mapeamento direto,SISTEMAS DIGITAIS PARA COMPUTADORES A,Eletiva,4,Sistemas Digitais para Computadores A,Eletiva,4
mapeamento direto,TÓPICOS ESPECIAIS EM COMPUTAÇÃO I,Eletiva,2,TOPICOS ESPECIAIS EM COMPUTACAO I,Eletiva,2
mapeamento direto,TÓPICOS ESPECIAIS EM COMPUTAÇÃO II,Eletiva,2,TOPICOS ESPECIAIS EM COMPUTACAO II,Eletiva,2
