tipo_regra,nome_fez,carater_fez,creditos_fez,nome_obtem,carater_obtem,creditos_obtem
,AGENTES AUTÔNOMOS E SISTEMAS MULTIAGENTES,Eletiva,4,Agentes Autonomos e Sistemas Multiagentes,Eletiva,4
,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXV,Eletiva,2,TOPICOS ESPECIAIS EM COMPUTACAO XXV,Eletiva,2
,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXVI,Eletiva,2,TOPICOS ESPECIAIS EM COMPUTACAO XXVI,Eletiva,2
,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXVII,Eletiva,4,TOPICOS ESPECIAIS EM COMPUTACAO XXVII,Eletiva,4
,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXVIII,Eletiva,4,TOPICOS ESPECIAIS EM COMPUTACAO XXVIII,Eletiva,4
,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO V,Eletiva,2,Projeto em Ciência e Inovação,Obrigatória,8
,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO V,Eletiva,2,TOPICOS ESPECIAIS EM ENGENHARIA DE COMPUTACAO V,Eletiva,2
,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO VI,Eletiva,2,TOPICOS ESPECIAIS EM ENGENHARIA DE COMPUTACAO VI,Eletiva,2
,TEORIA DA COMPUTAÇÃO N,Obrigatória,4,Teoria da Computação II - Computabilidade e Complexidade,Obrigatória,4
,TÓPICOS ESPECIAIS EM COMPUTAÇÃO V,Eletiva,2,TOPICOS ESPECIAIS EM COMPUTACAO V,Eletiva,2
,TÓPICOS ESPECIAIS EM COMPUTAÇÃO VI,Eletiva,2,TOPICOS ESPECIAIS EM COMPUTACAO VI,Eletiva,2
,LÓGICA PARA COMPUTAÇÃO,Obrigatória,4,Lógica e Correção de Programas,Obrigatória,4
,LÓGICA PARA COMPUTAÇÃO,Obrigatória,4,Verificação e Teste de Software,Obrigatória,2
,TEORIA DOS GRAFOS E ANÁLISE COMBINATÓRIA,Obrigatória,4,Projeto e Análise de Algoritmos I,Obrigatória,4
,COMPLEXIDADE DE ALGORITMOS - B,Obrigatória,4,Projeto e Análise de Algoritmos II,Obrigatória,4
,SEMÂNTICA FORMAL N,Obrigatória,4,Linguagens de Programação I,Obrigatória,4
,INGLÊS INSTRUMENTAL PARA PROCESSAMENTO DE DADOS I,Eletiva,4,Ingles Instrumental para Processamento de Dados I,Eletiva,4
,CÁLCULO NUMÉRICO A,Obrigatória,4,Computação Científica,Obrigatória,4
,CÁLCULO E GEOMETRIA ANALÍTICA I - A,Obrigatória,6,Cálculo e Geometria Analítica I - A,Obrigatória,6
,CÁLCULO E GEOMETRIA ANALÍTICA II - A,Obrigatória,6,Cálculo e Geometria Analítica II - A,Obrigatória,6
,ÁLGEBRA LINEAR I - A,Obrigatória,4,Álgebra Linear,Obrigatória,4
,MATEMÁTICA DISCRETA B,Obrigatória,4,Matemática Discreta,Obrigatória,4
,PROBABILIDADE E ESTATÍSTICA,Obrigatória,4,Probabilidade e Estatística,Obrigatória,4
,VÍNCULO ACADÊMICO - ERE 2020/1,Eletiva,0,VINCULO ACADEMICO - ERE 2020/1,Eletiva,0
,VÍNCULO ACADÊMICO - ERE 2020/2,Eletiva,0,VINCULO ACADEMICO - ERE 2020/2,Eletiva,0
temporalidade,Ingresso até Temp-4,Eletiva,0,Projeto em Ciência e Inovação,Obrigatória,8
temporalidade,Ingresso até Temp-5,Eletiva,0,Aprendizado de Máquina,Obrigatória,4
temporalidade,Ingresso até Temp-5,Eletiva,0,Programação Paralela,Obrigatória,4
temporalidade,Ingresso até Temp-6,Eletiva,0,Segurança de Sistemas e da Informação,Obrigatória,4
temporalidade,Ingresso até Temp-6,Eletiva,0,Processamento de Linguagem Natural,Obrigatória,4
temporalidade,Ingresso até Temp-7,Eletiva,0,Projeto Integrador,Obrigatória,8
